source_json,match_id,match_start_time,competition,competition_id,season,season_id,season_year,stage_type,stage_phase,round,group,home_team,home_team_id,home_abbreviation,away_team,away_team_id,away_abbreviation,venue,venue_city,venue_country,venue_map_coordinates,referee,referee_nationality,event_order,event_id,event_type,event_timestamp,match_time_minute,match_clock,competitor,team,x,y,period,period_name,break_name,home_score,away_score,method,player_id,player_name,scorer_id,scorer_name,substituted_out_id,substituted_out_name,substituted_in_id,substituted_in_name,players_json
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,1,2270464608,match_started,2026-02-14T08:35:20+00:00,,,,,,,,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,2,2270464610,period_start,2026-02-14T08:35:20+00:00,,,,,,,1,1st_half,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,3,2270464642,ball_kicked,2026-02-14T08:35:22+00:00,1,0:02,away,Brumbies,55,33,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,4,2270464842,ball_recycled,2026-02-14T08:35:43+00:00,1,0:23,home,Western Force,21,45,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,5,2270464926,ball_recycled,2026-02-14T08:35:51+00:00,1,0:30,home,Western Force,35,64,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,6,2270464988,ball_recycled,2026-02-14T08:35:57+00:00,1,0:36,home,Western Force,35,47,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,7,2270465102,ball_kicked,2026-02-14T08:36:09+00:00,1,0:48,home,Western Force,44,55,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,8,2270465210,ball_recycled,2026-02-14T08:36:21+00:00,1,0:59,home,Western Force,54,7,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,9,2270465288,scrum,2026-02-14T08:36:28+00:00,2,1:07,away,Brumbies,48,9,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,10,2270465762,scrum_won,2026-02-14T08:37:12+00:00,2,1:51,away,Brumbies,48,9,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,11,2270465810,ball_recycled,2026-02-14T08:37:17+00:00,2,1:56,away,Brumbies,39,33,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,12,2270465866,ball_recycled,2026-02-14T08:37:23+00:00,3,2:02,away,Brumbies,40,40,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,13,2270465900,ball_recycled,2026-02-14T08:37:26+00:00,3,2:05,away,Brumbies,37,40,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,14,2270465964,ball_recycled,2026-02-14T08:37:31+00:00,3,2:10,away,Brumbies,34,24,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,15,2270466068,ball_recycled,2026-02-14T08:37:40+00:00,3,2:18,away,Brumbies,33,16,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,16,2270466144,ball_kicked,2026-02-14T08:37:46+00:00,3,2:24,away,Brumbies,33,14,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,17,2270466356,ball_kicked,2026-02-14T08:38:06+00:00,3,2:44,home,Western Force,17,7,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,18,2270466448,line_out,2026-02-14T08:38:16+00:00,3,2:54,away,Brumbies,48,-2,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,19,2270466910,ball_kicked,2026-02-14T08:38:52+00:00,4,3:30,home,Western Force,51,11,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,20,2270466954,ball_kicked,2026-02-14T08:38:59+00:00,4,3:36,home,Western Force,58,18,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,21,2270467026,penalty_awarded,2026-02-14T08:39:03+00:00,4,3:40,home,Western Force,72,17,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,22,2270467104,kick_to_touch,2026-02-14T08:39:12+00:00,4,3:50,home,Western Force,72,17,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,23,2270467206,line_out,2026-02-14T08:39:21+00:00,4,3:59,home,Western Force,92,-2,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,24,2270467404,line_out_won,2026-02-14T08:39:41+00:00,5,4:19,home,Western Force,92,-2,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,25,2270467416,ball_recycled,2026-02-14T08:39:43+00:00,5,4:21,home,Western Force,91,12,1,,,,,,,,,,,,,,
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,2026-02-14T08:35:00+00:00,Super Rugby,sr:competition:422,Super Rugby 2026,sr:season:137092,2026,league,regular season,1,Super Rugby Pacific 2026,Western Force,sr:competitor:21995,WFO,Brumbies,sr:competitor:4179,BRU,HBF Park,Perth,Australia,"-31.945833, 115.87","Way, Jordan",,26,2270467456,ball_recycled,2026-02-14T08:39:47+00:00,5,4:25,home,Western Force,91,12,1,,,,,,,,,,,,,,
