source_json,match_id,competition,season,round,home_team,away_team,team_id,team,team_abbreviation,qualifier,ball_possession,carries,clean_breaks,conversions,drop_goals,lineouts_won,meters_run,offloads,passes,penalties_conceded,penalty_goals,red_cards,scrums_lost,scrums_won,tackle_missed,tackles,total_scrums,tries,try_assist,turnovers_won,yellow_cards
super_rugby_2026_blues_vs_chiefs_65866096.json,sr:sport_event:65866096,Super Rugby,Super Rugby 2026,1,Blues,Chiefs,sr:competitor:4185,Chiefs,CHI,away,70,99,3,2,0,16,365,5,134,9,0,0,0,5,14,166,5,3,2,7,1
super_rugby_2026_blues_vs_chiefs_65866096.json,sr:sport_event:65866096,Super Rugby,Super Rugby 2026,1,Blues,Chiefs,sr:competitor:4190,Blues,BLU,home,30,122,6,1,0,13,417,8,172,12,1,0,0,3,12,117,3,2,2,4,1
super_rugby_2026_crusaders_vs_brumbies_65866108.json,sr:sport_event:65866108,Super Rugby,Super Rugby 2026,2,Crusaders,Brumbies,sr:competitor:4179,Brumbies,BRU,away,58,162,8,5,0,11,544,7,168,5,0,0,0,7,34,176,7,8,6,4,1
super_rugby_2026_crusaders_vs_brumbies_65866108.json,sr:sport_event:65866108,Super Rugby,Super Rugby 2026,2,Crusaders,Brumbies,sr:competitor:4181,Crusaders,CRU,home,42,136,7,2,0,7,497,11,166,9,0,0,0,3,31,236,3,4,4,3,2
super_rugby_2026_fijian_drua_vs_moana_pasifika_65866094.json,sr:sport_event:65866094,Super Rugby,Super Rugby 2026,1,Fijian Drua,Moana Pasifika,sr:competitor:364712,Fijian Drua,FID,home,42,120,4,3,0,10,470,12,194,9,0,0,0,5,22,130,5,4,4,4,1
super_rugby_2026_fijian_drua_vs_moana_pasifika_65866094.json,sr:sport_event:65866094,Super Rugby,Super Rugby 2026,1,Fijian Drua,Moana Pasifika,sr:competitor:761406,Moana Pasifika,MOA,away,58,98,3,5,0,14,286,3,111,4,0,0,0,7,27,152,7,6,4,4,0
super_rugby_2026_highlanders_vs_chiefs_65866104.json,sr:sport_event:65866104,Super Rugby,Super Rugby 2026,2,Highlanders,Chiefs,sr:competitor:4182,Highlanders,HIG,home,49,123,4,1,0,17,369,9,178,11,2,0,0,4,20,172,4,3,3,9,1
super_rugby_2026_highlanders_vs_chiefs_65866104.json,sr:sport_event:65866104,Super Rugby,Super Rugby 2026,2,Highlanders,Chiefs,sr:competitor:4185,Chiefs,CHI,away,51,135,7,3,0,12,548,13,173,10,0,0,0,6,20,148,6,4,1,5,1
super_rugby_2026_highlanders_vs_crusaders_65866090.json,sr:sport_event:65866090,Super Rugby,Super Rugby 2026,1,Highlanders,Crusaders,sr:competitor:4181,Crusaders,CRU,away,48,131,10,2,0,12,488,5,165,10,3,0,0,4,19,127,4,2,1,3,0
super_rugby_2026_highlanders_vs_crusaders_65866090.json,sr:sport_event:65866090,Super Rugby,Super Rugby 2026,1,Highlanders,Crusaders,sr:competitor:4182,Highlanders,HIG,home,52,109,4,2,0,12,348,8,126,10,2,0,1,6,21,142,7,3,3,12,0
